Date Department,Speaker,Date Student,Presenter 1,Presenter 2,Title 1,Title 2
9/15/2025,"Jiangnan Li, Research Scientist - Environment and Climate Change Canada",8/27/2025,Bruno Tremblay,,Introduction to the course,
9/22/2025,"Louis-Philippe Nadeau, Professor - Institut des Sciences de la Mer de Rimouski",9/3/2025,Bruno Tremblay,Shiqi Xu,Tips for scholarship applications,TA Orientation
9/29/2025,"Norman Loeb, Senior Scientist for Radiation Sciences - NASA Langley Research Center",9/10/2025,DEPARTMENT WELCOME PARTY,,,
10/6/2025,"Trevor VandenBoer, Associate Professor - York University, Toronto",9/17/2025,Ehsan Fereyduni,,Your Daily Team (Productivity for Students),
10/13/2025,No seminar speaker (Thanksgiving),9/24/2025,Félix St-Denis,,Tips for clear written presentation,
10/20/2025,"Mark Zelinka, Staff Scientist - Lawrence Livermore National Laboratory",10/1/2025,Hugo Rochon,,Linux/bash,
10/27/2025,"Stéphane Bélair, Research Scientist - Environment and Climate Change Canada",10/8/2025,Félix St-Denis,,Github,
11/3/2025,"Andrew Mahoney, Research Associate Professor - Geophysical Institute, University of Alaska Fairbanks",10/22/2025,Camilo Serrano ,,PhD Defense,
11/10/2025,"Cecilia Bitz, Professor - Department of Atmospheric and Climate Sciences, University of Washington",10/29/2025,Dan Barthaux,Félix St-Denis TARA,Wildfire Smoke Onions,On the Well-Posedness of the Granular-Compressible Rheology
11/17/2025,"Patrick Hayes, Professor - Department of Chemistry, Université de Montréal",11/5/2025,Calvin Coulbury,Philippe Boulanger,Difficulties in diagnosing the Arctic cloud feedback,Evolution of water vapor residence time with climate change
11/24/2025,"Aaron Donohoe, Principal Research Scientist - Applied Physics Lab, University of Washington",11/12/2025,Vahid Shahabadi (Thomas Preston),,Surface partitioning of anions in supersaturated salt microdroplets,
12/1/2025,TBA,11/19/2025,Alessio Fortin,Masoud Moeini ,,
,,11/26/2025,Benjamin Riot Bretecher (Yi Huang),,Investigating Arctic Climate Change Using Ground-Based Infrared Spectral Measurements,
,,12/3/2025,Andres Lopez,Shanhe Liu,,
,,1/21/2026,Jiechao Zhu,Yuying Wei,Intermodel Comparison of Water Mass Transformation in CMIP6 Simulations,"A Lagrangian Diagnosis of the Heating Structure of the 2021 Northwestern Pacific Heatwave
"
,,1/28/2026,Mónica Figueroa,,Convective quasi-equilibrium and CAPE generation in the tropics,
,,2/4/2026,Zixuan Shen,,ONION,
,,2/11/2026,Ruogu He,,Climate Effect of Stratospheric Water Vapor in Radiative-Convective Adjustment Simulations,
,,2/18/2026,Jan Szpak,,Initiation of deep convection during a TRACER field campaign,
,,2/25/2026,Florence Dion-Ladouceur,Nina Warren,Cold-season subtropical air mass intrusions in the Saint-Lawrence River Valley,
,,3/11/2026,Perla Gonzalez Davalos,Sohom Gupta,CMIP6 comparison of moisture bias in the tropical UTLS: Coupled Vs prescribed SST experiments,
,,3/18/2026,Negin Rezaei,Jialin Liu,,Large-eddy simulations of deep orographic convection observed during SAIL
,,3/25/2026,Bing-Xue Zhuang (Frédéric Fabry),Shiqi Xu,Dynamical and Thermodynamical Adjustment Using Artificial Intelligence,Spaceborne hyperspectral observations of deep convective storms
,,4/1/2026,Meixin Zhou,Quinn Dyer-Hawes,Wind stress parameterization,Numerical modeling of greenhouse gas dispersion
,,4/8/2026,Hugo Rochon,Mohammad Hadavi (Djordje Romanic),Improving regional climate simulations over the Canadian East Coast using high-resolution sea surface data,Numerical simulation of downbursts in urban environments
,,4/15/2026,Zheng Qi Wang,Aubert Lamy (Djordje Romanic),Data Assimilation of surface-sensitive radiance observation ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
 ,,,,,,
